num_units,nodes,relations,words,nodes per word,rels per word
1,6.25,4.25,333.25,0.015090800823287658,0.010715656972696538
2,3.25,2.0,333.25,0.012092490045857947,0.0075992112803721845
3,3.5,2.0,333.25,0.0099877598274289,0.006360000132293686
4,3.0,2.0,333.25,0.010726369827278714,0.0075992112803721845
5,3.5,2.0,333.25,0.0124661821235859,0.0075992112803721845
6,2.5,1.5,333.25,0.01097141381267409,0.00685182712491628
7,2.75,1.75,333.25,0.010352677749550761,0.007225519202644233
8,3.0,1.75,333.25,0.010726369827278714,0.00623309106179295
9,2.25,1.25,333.25,0.009605293594094856,0.005485706906337045
10,2.25,1.25,333.25,0.009605293594094856,0.005485706906337045
11,2.25,1.25,333.25,0.009605293594094856,0.005485706906337045
12,2.25,1.25,333.25,0.009605293594094856,0.005485706906337045
13,2.75,1.5,333.25,0.010352677749550761,0.005859398984064998
14,2.75,1.5,333.25,0.010352677749550761,0.005859398984064998
15,2.25,1.25,333.25,0.009605293594094856,0.005485706906337045
16,3.0,1.75,333.25,0.010726369827278714,0.00623309106179295
17,2.75,1.5,333.25,0.010352677749550761,0.005859398984064998
18,2.25,1.25,333.25,0.009605293594094856,0.005485706906337045
19,2.25,1.25,333.25,0.009605293594094856,0.005485706906337045
20,2.25,1.25,333.25,0.009605293594094856,0.005485706906337045
